Season,Player,Profile URL,Position,Current Club,Market Value
2024/2025,Mohamed Sedki Debchi,https://www.transfermarkt.com/mohamed-sedki-debchi/profil/spieler/572190,Mohamed Sedki Debchi,Esperance Tunis,€100k
2024/2025,Mohamed Wael Derbali,https://www.transfermarkt.com/mohamed-wael-derbali/profil/spieler/946783,Mohamed Wael Derbali,Esperance Tunis,€600k
2024/2025,Mokhtar Ifaoui,https://www.transfermarkt.com/mokhtar-ifaoui/profil/spieler/1370391,Goalkeeper,Esperance Tunis,
2016/2017,Mondher Guesmi,https://www.transfermarkt.com/mondher-guesmi/profil/spieler/401849,Defensive Midfield,Al-Sadd,€100k
2017/2018,Montassar Talbi,https://www.transfermarkt.com/montassar-talbi/profil/spieler/496706,Montassar Talbi,FC Lorient,€350k
2023/2024,Montassar Triki,https://www.transfermarkt.com/montassar-triki/profil/spieler/841500,Central Midfield,Without Club,€175k
2024/2025,Mootez Zaddem,https://www.transfermarkt.com/mootez-zaddem/profil/spieler/750487,Central Midfield,Esperance Tunis,€400k
2015/2016,Mouez Aboud,https://www.transfermarkt.com/mouez-aboud/profil/spieler/274971,Defensive Midfield,Without Club,€175k
2023/2024,Mouhib Selmi,https://www.transfermarkt.com/mouhib-selmi/profil/spieler/782600,Centre-Forward,Avenir Sportif de Gabès,€50k
2021/2022,Moussa Konaté,https://www.transfermarkt.com/moussa-konate/profil/spieler/192774,Centre-Forward,Bourges Foot 18,€1.80m
2021/2022,Nassim Ben Khalifa,https://www.transfermarkt.com/nassim-ben-khalifa/profil/spieler/74288,Second Striker,Avispa Fukuoka,€400k
2024/2025,Nidhal Laifi,https://www.transfermarkt.com/nidhal-laifi/profil/spieler/564882,Left-Back,Esperance Tunis,€550k
2018/2019,Noomen Rahmani,https://www.transfermarkt.com/noomen-rahmani/profil/spieler/645531,Left Winger,ES Zarzis,
2024/2025,Onuche Ogbelu,https://www.transfermarkt.com/onuche-ogbelu/profil/spieler/1015616,Central Midfield,Esperance Tunis,€700k
2012/2013,Oussema Boughanmi,https://www.transfermarkt.com/oussema-boughanmi/profil/spieler/133080,Central Midfield,CS Saint-Laurent,€100k
2024/2025,Oussema Bouguerra,https://www.transfermarkt.com/oussema-bouguerra/profil/spieler/479300,Left Winger,Esperance Tunis,€650k
2023/2024,Oussema Shili,https://www.transfermarkt.com/oussema-shili/profil/spieler/842994,Left-Back,Club Africain,€450k
2021/2022,Percious Boah,https://www.transfermarkt.com/percious-boah/profil/spieler/843699,Centre-Forward,Without Club,€50k
2022/2023,Rached Arfaoui,https://www.transfermarkt.com/rached-arfaoui/profil/spieler/295377,Right Winger,Ghazl El Mahalla,€500k
2024/2025,Raed Bouchniba,https://www.transfermarkt.com/raed-bouchniba/profil/spieler/1008461,Right-Back,Esperance Tunis,€650k
2024/2025,Raed Fadaa,https://www.transfermarkt.com/raed-fadaa/profil/spieler/537392,Right-Back,Without Club,
2013/2014,Rafik Kamergi,https://www.transfermarkt.com/rafik-kamergi/profil/spieler/320501,Rafik Kamergi,Al-Sahel Club,
2019/2020,Rami Jeridi,https://www.transfermarkt.com/rami-jeridi/profil/spieler/122489,Rami Jeridi,Dynamic Herb Cebu FC,€400k
2023/2024,Riad Benayad,https://www.transfermarkt.com/riad-benayad/profil/spieler/416109,Centre-Forward,USM Alger,€450k
2024/2025,Rodrigo Rodrigues,https://www.transfermarkt.com/rodrigo-rodrigues/profil/spieler/638262,Centre-Forward,Coritiba Foot Ball Club,€850k
2024/2025,Roger Aholou,https://www.transfermarkt.com/roger-aholou/profil/spieler/727208,Defensive Midfield,Al-Ittihad SC,€1.00m
2018/2019,Saad Bguir,https://www.transfermarkt.com/saad-bguir/profil/spieler/253752,Attacking Midfield,Without Club,€1.00m
2022/2023,Sabir Bougrine,https://www.transfermarkt.com/sabir-bougrine/profil/spieler/318904,Attacking Midfield,Raja Club Athletic,€700k
2012/2013,Safouane Ben Salem,https://www.transfermarkt.com/safouane-ben-salem/profil/spieler/172959,Central Midfield,Without Club,€100k
2015/2016,Saliou Guindo,https://www.transfermarkt.com/saliou-guindo/profil/spieler/364854,Centre-Forward,FC Dinamo City,€50k
2023/2024,Salmen Trabelsi,https://www.transfermarkt.com/salmen-trabelsi/profil/spieler/1210567,Right Winger,Esperance Tunis U21,€25k
2016/2017,Sami Helal,https://www.transfermarkt.com/sami-helal/profil/spieler/206758,Sami Helal,AS Marsa,€50k
2019/2020,Samuel Atvati,https://www.transfermarkt.com/samuel-atvati/profil/spieler/628191,Samuel Atvati,Abia Warriors FC,€175k
2016/2017,Samuel Eduok,https://www.transfermarkt.com/samuel-eduok/profil/spieler/274802,Samuel Eduok,Without Club,€1.25m
2013/2014,Seddik Mejri,https://www.transfermarkt.com/seddik-mejri/profil/spieler/304925,Centre-Back,EGS Gafsa,
2014/2015,Seifeddine Akremi,https://www.transfermarkt.com/seifeddine-akremi/profil/spieler/122342,Left-Back,Al-Nairyah Club,€150k
2014/2015,Seifeddine Jerbi,https://www.transfermarkt.com/seifeddine-jerbi/profil/spieler/252963,Seifeddine Jerbi,ES Radès,€300k
2023/2024,Shararh,https://www.transfermarkt.com/shararh/profil/spieler/677986,Right Winger,Al-Ramtha SC,€400k
2020/2021,Taha Yassine Khenissi,https://www.transfermarkt.com/taha-yassine-khenissi/profil/spieler/142252,Centre-Forward,Kuwait SC,€800k
2014/2015,Tarak Achour,https://www.transfermarkt.com/tarak-achour/profil/spieler/112398,Defensive Midfield,Unknown,€150k
2019/2020,Tayeb Meziani,https://www.transfermarkt.com/tayeb-meziani/profil/spieler/373035,Right Winger,MC Algiers,€300k
2024/2025,Wajdi Issaoui,https://www.transfermarkt.com/wajdi-issaoui/profil/spieler/1338664,Central Midfield,Esperance Tunis U21,
2024/2025,Wassim Karoui,https://www.transfermarkt.com/wassim-karoui/profil/spieler/402696,Goalkeeper,Without Club,
2018/2019,Wassim Naghmouchi,https://www.transfermarkt.com/wassim-naghmouchi/profil/spieler/264336,Central Midfield,Al-Shomooa SC,€450k
2020/2021,William Togui,https://www.transfermarkt.com/william-togui/profil/spieler/362291,William Togui,APR FC Kigali,€750k
2024/2025,Yan Sasse,https://www.transfermarkt.com/yan-sasse/profil/spieler/469136,Right Winger,Esperance Tunis,€1.80m
2014/2015,Yannick N'Djeng,https://www.transfermarkt.com/yannick-ndjeng/profil/spieler/174946,Centre-Forward,Without Club,€850k
2018/2019,Yassine Hamdi,https://www.transfermarkt.com/yassine-hamdi/profil/spieler/665858,Yassine Hamdi,Without Club,
2024/2025,Yassine Meriah,https://www.transfermarkt.com/yassine-meriah/profil/spieler/306330,Centre-Back,Esperance Tunis,€1.20m
2024/2025,Youcef Belaïli,https://www.transfermarkt.com/youcef-belaili/profil/spieler/175014,Left Winger,Esperance Tunis,€1.70m
2024/2025,Younes Rached,https://www.transfermarkt.com/younes-rached/profil/spieler/849542,Left Winger,Esperance Tunis,€400k
2024/2025,Youssef Abdelli,https://www.transfermarkt.com/youssef-abdelli/profil/spieler/700702,Centre-Forward,US Monastir,€400k
2018/2019,Youssef Khemiri,https://www.transfermarkt.com/youssef-khemiri/profil/spieler/376087,Left Winger,Without Club,€150k
2020/2021,Youssef Mosrati,https://www.transfermarkt.com/youssef-mosrati/profil/spieler/651142,Central Midfield,Al Tersana Tripoli,€150k
2012/2013,Youssef Msakni,https://www.transfermarkt.com/youssef-msakni/profil/spieler/69110,Left Winger,Without Club,€2.50m
2023/2024,Youssouf Oumarou,https://www.transfermarkt.com/youssouf-oumarou/profil/spieler/343276,Central Midfield,Al-Karma,€850k
2024/2025,Zakaria El Ayeb,https://www.transfermarkt.com/zakaria-el-ayeb/profil/spieler/1063396,Central Midfield,Esperance Tunis,€300k
2023/2024,Zied Berrima,https://www.transfermarkt.com/zied-berrima/profil/spieler/645530,Centre-Forward,Club Athlétique Bizertin,€50k
2023/2024,Zied Machmoum,https://www.transfermarkt.com/zied-machmoum/profil/spieler/215637,Right-Back,Without Club,€150k
2016/2017,Zied Ounalli,https://www.transfermarkt.com/zied-ounalli/profil/spieler/215828,Left Winger,US Tataouine,€200k
2024/2025,Zinedine Kada,https://www.transfermarkt.com/zinedine-kada/profil/spieler/1248972,Centre-Forward,JS Kairouanaise,€150k
2023/2024,Zinedine Sassi,https://www.transfermarkt.com/zinedine-sassi/profil/spieler/1054064,Centre-Back,Al-Waab SC,€75k
2017/2018,Änis Ben-Hatira,https://www.transfermarkt.com/anis-ben-hatira/profil/spieler/35872,Right Winger,Hertha BSC II,€400k
 
