Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Mohamed Ben Ali,2025/2026,2,30,1.75m,Right-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/mohamed-ben-ali/profil/spieler/290406,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€500k
Mohamed Mohieddine Aloui,2023/2024,,21,,,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/mohamed-mohieddine-aloui/profil/spieler/1264547,Union Sportive de Ben Guerdane,https://www.transfermarkt.com/union-sportive-de-ben-guerdane/startseite/verein/30507,https://tmssl.akamaized.net//images/wappen/small/30507.png?lm=1437974422,Tunisia,
Mohamed Mouhli,2025/2026,37,27,1.79m,Attacking Midfield,Belgium,https://img.a.transfermarkt.technology/portrait/header/433129-1713878887.jpg?lm=1,https://www.transfermarkt.com/mohamed-mouhli/profil/spieler/433129,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€300k
Mohamed Rayane Hamrouni,2024/2025,39,22,1.81m,Left Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/mohamed-rayane-hamrouni/profil/spieler/1008449,JS Kairouanaise,https://www.transfermarkt.com/js-kairouanaise/startseite/verein/17534,https://tmssl.akamaized.net//images/wappen/small/17534.png?lm=1418329709,Tunisia,€200k
Mohamed Sedki Debchi,2025/2026,26,26,1.95m,Goalkeeper,Tunisia,https://img.a.transfermarkt.technology/portrait/header/572190-1524331232.jpg?lm=1,https://www.transfermarkt.com/mohamed-sedki-debchi/profil/spieler/572190,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€100k
Mohamed Wael Derbali,2025/2026,4,22,1.89m,Central Midfield,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/mohamed-wael-derbali/profil/spieler/946783,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€600k
Mokhtar Ifaoui,2025/2026,16,22,1.92m,Goalkeeper,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/mokhtar-ifaoui/profil/spieler/1370391,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,
Mouhib Selmi,2023/2024,36,22,1.82m,Centre-Forward,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/mouhib-selmi/profil/spieler/782600,Avenir Sportif de Gabès,https://www.transfermarkt.com/avenir-sportif-de-gabes/startseite/verein/22812,https://tmssl.akamaized.net//images/wappen/small/22812.png?lm=1418329501,Tunisia,€50k
Nidhal Laifi,2025/2026,12,27,1.82m,Left-Back,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/nidhal-laifi/profil/spieler/564882,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€550k
Noomen Rahmani,2018/2019,,26,1.71m,Left Winger,Tunisia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.com/noomen-rahmani/profil/spieler/645531,ES Zarzis,https://www.transfermarkt.com/es-zarzis/startseite/verein/2205,https://tmssl.akamaized.net//images/wappen/small/2205.png?lm=1418329546,Tunisia,
Onuche Ogbelu,2025/2026,14,22,1.85m,Central Midfield,Nigeria,https://img.a.transfermarkt.technology/portrait/header/1015616-1679682942.jpg?lm=1,https://www.transfermarkt.com/onuche-ogbelu/profil/spieler/1015616,Esperance Tunis,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,https://tmssl.akamaized.net//images/wappen/small/3342.png?lm=1673031552,Tunisia,€700k
