Player,Season,EST_Seasons,Total_EST_Seasons,Jersey_Number,Age,Birth_Date,Height,Preferred_Foot,Position,Detailed_Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Club_Country,Club_Logo,Club_Founded,Market_Value,Contract_Expires,Agent
Khalil Guenichi,2024/2025,2024/2025,1,38,,11.12.2002 (22),"1,88 m",,Defensive Midfield,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/khalil-guenichi/profil/spieler/1023354,Esperance Tunis,,,,,,€500k,,
Houssem Tka,2024/2025,2024/2025,1,8,,16.08.2000 (25),"1,75 m",,Central Midfield,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/houssem-tka/profil/spieler/581156,Esperance Tunis,,,,,,€1.20m,,
Onuche Ogbelu,2024/2025,2024/2025,1,14,,10.05.2003 (22),"1,85 m",,Central Midfield,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/onuche-ogbelu/profil/spieler/1015616,Esperance Tunis,,,,,,€700k,,
Mohamed Wael Derbali,2024/2025,2024/2025,1,4,,18.06.2003 (22),"1,89 m",,Mohamed Wael Derbali,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/mohamed-wael-derbali/profil/spieler/946783,Esperance Tunis,,,,,,€600k,,
Mootez Zaddem,2024/2025,2024/2025,1,,,05.01.2001 (24),"1,85 m",,Central Midfield,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/mootez-zaddem/profil/spieler/750487,Esperance Tunis,,,,,,€400k,,
Larry Azouni,2024/2025,2024/2025,1,23,,23.03.1994 (31),"1,76 m",,Central Midfield,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/larry-azouni/profil/spieler/204347,Esperance Tunis,,,,,,€400k,,
Zakaria El Ayeb,2024/2025,2024/2025,1,17,,15.01.2003 (22),"1,88 m",,Central Midfield,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/zakaria-el-ayeb/profil/spieler/1063396,Esperance Tunis,,,,,,€300k,,
Wajdi Issaoui,2024/2025,2024/2025,1,,,08.01.2005 (20),,,Central Midfield,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/wajdi-issaoui/profil/spieler/1338664,Esperance Tunis,,,,,,,,
Chiheb Jebali,2024/2025,2024/2025,1,36,,26.05.1996 (29),"1,76 m",,Attacking Midfield,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/chiheb-jebali/profil/spieler/295409,Esperance Tunis,,,,,,€1.00m,,
Abdramane Konaté,2024/2025,2024/2025,1,21,,25.06.2006 (19),"1,68 m",,Abdramane Konaté,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/abdramane-konate/profil/spieler/1099653,Esperance Tunis,,,,,,€850k,,
Mohamed Mouhli,2024/2025,2024/2025,1,37,,13.09.1998 (26),"1,79 m",,Mohamed Mouhli,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/mohamed-mouhli/profil/spieler/433129,Esperance Tunis,,,,,,€300k,,
Youcef Belaïli,2024/2025,2024/2025,1,11,,14.03.1992 (33),"1,79 m",,Left Winger,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/youcef-belaili/profil/spieler/175014,Esperance Tunis,,,,,,€1.70m,,
Oussema Bouguerra,2024/2025,2024/2025,1,,,17.10.1998 (26),"1,83 m",,Left Winger,,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/oussema-bouguerra/profil/spieler/479300,Esperance Tunis,,,,,,€650k,,
