Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Ilyes Chetti,2021/2022,23,,,Left-Back,Algeria,,https://www.transfermarkt.com/ilyes-chetti/profil/spieler/477834,USM Alger,,https://tmssl.akamaized.net//images/wappen/verysmall/6772.png?lm=1705509817,,€550k
Junior Lokosa,2019/2020,29,,,Centre-Forward,Nigeria,,https://www.transfermarkt.com/junior-lokosa/profil/spieler/584674,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€325k
Kebba Sowe,2023/2024,3,,,Centre-Forward,The Gambia,,https://www.transfermarkt.com/kebba-sowe/profil/spieler/669379,AS Soliman,,https://tmssl.akamaized.net//images/wappen/verysmall/52128.png?lm=1468792418,,€400k
Khaireddine Meddaoui,2023/2024,,,,Midfielder,Tunisia,,https://www.transfermarkt.com/khaireddine-meddaoui/profil/spieler/1264545,Esperance Tunis U21,,https://tmssl.akamaized.net//images/wappen/verysmall/31167.png?lm=1673031553,,
Khaled Gharsallaoui,2016/2017,,,,Right Winger,Tunisia,,https://www.transfermarkt.com/khaled-gharsallaoui/profil/spieler/214957,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€275k
Khalil Gantassi,2012/2013,10,,,Attacking Midfield,Tunisia,,https://www.transfermarkt.com/khalil-gantassi/profil/spieler/270264,AS Oued Ellil,,https://tmssl.akamaized.net//images/wappen/verysmall/52841.png?lm=1467547955,,€75k
Khalil Guenichi,2025/2026,27,-3,,Defensive Midfield,Tunisia,,https://www.transfermarkt.com/khalil-guenichi/profil/spieler/1023354,Without Club,,,,€500k
Khemais Maaouani,2018/2019,,,,Defensive Midfield,Tunisia,,https://www.transfermarkt.com/khemais-maaouani/profil/spieler/474759,Union Sportive de Ben Guerdane,,https://tmssl.akamaized.net//images/wappen/verysmall/30507.png?lm=1437974422,,€175k
Kingsley Eduwo,2021/2022,14,,,Centre-Forward,Nigeria,,https://www.transfermarkt.com/kingsley-eduwo/profil/spieler/532477,El Masry SC,,https://tmssl.akamaized.net//images/wappen/verysmall/9094.png?lm=1608248109,,€650k
Kouadio Brou David Koffi,2021/2022,21,,,Right Winger,Cote d'Ivoire,,https://www.transfermarkt.com/kouadio-brou-david-koffi/profil/spieler/924164,ASEC Mimosas,,https://tmssl.akamaized.net//images/wappen/verysmall/3891.png?lm=1413098158,,€50k
Kouceila Boualia,2025/2026,7,-4,,Right Winger,Algeria,,https://www.transfermarkt.com/kouceila-boualia/profil/spieler/848796,Without Club,,,,€600k
Koussay Maacha,2025/2026,30,,,Right Winger,Tunisia,,https://www.transfermarkt.com/koussay-maacha/profil/spieler/1258261,Without Club,,,,€200k
Koussay Smiri,2023/2024,,,,Centre-Back,Tunisia,,https://www.transfermarkt.com/koussay-smiri/profil/spieler/1246844,Al-Khor SC,,https://tmssl.akamaized.net//images/wappen/verysmall/5381.png?lm=1739116207,,
Kwame Bonsu,2019/2020,3,,,Defensive Midfield,Ghana,,https://www.transfermarkt.com/kwame-bonsu/profil/spieler/269558,Al-Jandal SC,,https://tmssl.akamaized.net//images/wappen/verysmall/78886.png?lm=1724184161,,€350k
Larry Azouni,2023/2024,,,,Central Midfield,Tunisia,,https://www.transfermarkt.com/larry-azouni/profil/spieler/204347,Dibba Al-Hisn SC,,https://tmssl.akamaized.net//images/wappen/verysmall/26713.png?lm=1719090134,,€450k
Magno Cruz,2014/2015,7,,,Centre-Forward,Brazil,,https://www.transfermarkt.com/magno-cruz/profil/spieler/109131,Shanghai Jiading Huilong Reserves,,https://tmssl.akamaized.net//images/wappen/verysmall/85371.png?lm=1680038397,,
Maher Ben Seghaier,2019/2020,16,,,Left Winger,Tunisia,,https://www.transfermarkt.com/maher-ben-seghaier/profil/spieler/403255,Etoile Sportive du Sahel,,https://tmssl.akamaized.net//images/wappen/verysmall/250.png?lm=1584825425,,€250k
Malek Charfi,2017/2018,2,,,Right-Back,Tunisia,,https://www.transfermarkt.com/malek-charfi/profil/spieler/578910,Al-Shat Tripoli,,https://tmssl.akamaized.net//images/wappen/verysmall/30563.png?lm=1447870021,,€50k
Malek Mehri,2022/2023,18,,,Central Midfield,Tunisia,,https://www.transfermarkt.com/malek-mehri/profil/spieler/1003198,Club Athlétique Bizertin,,https://tmssl.akamaized.net//images/wappen/verysmall/12717.png?lm=1534152607,,€200k
Malek Miladi,2016/2017,,,,Centre-Back,Tunisia,,https://www.transfermarkt.com/malek-miladi/profil/spieler/376085,US Monastir,,https://tmssl.akamaized.net//images/wappen/verysmall/9890.png?lm=1563116766,,€125k
Moez Ben Cherifia,2023/2024,12,,,Goalkeeper,Tunisia,,https://www.transfermarkt.com/moez-ben-cherifia/profil/spieler/143581,AS Soliman,,https://tmssl.akamaized.net//images/wappen/verysmall/52128.png?lm=1468792418,,€500k
Mohamed Ali Ben Hammouda,2023/2024,29,,,Centre-Forward,Tunisia,,https://www.transfermarkt.com/mohamed-ali-ben-hammouda/profil/spieler/700169,CR Belouizdad,,https://tmssl.akamaized.net//images/wappen/verysmall/13365.png?lm=1695752455,,€600k
Mohamed Ali Ben Romdhane,2022/2023,5,,2.70,Central Midfield,Tunisia,,https://www.transfermarkt.com/mohamed-ali-ben-romdhane/profil/spieler/577881,Al Ahly FC,,https://tmssl.akamaized.net//images/wappen/verysmall/7.png?lm=1745704549,,€2.70m
Mohamed Ali Mhadhebi,2016/2017,,,,Left Winger,Tunisia,,https://www.transfermarkt.com/mohamed-ali-mhadhebi/profil/spieler/159550,Aigle Sportif Teboulba,,https://tmssl.akamaized.net//images/wappen/verysmall/88476.png?lm=1616250958,,€125k
Mohamed Ali Moncer,2017/2018,21,,,Attacking Midfield,Tunisia,,https://www.transfermarkt.com/mohamed-ali-moncer/profil/spieler/172296,FC Brandbergen,,https://tmssl.akamaized.net//images/wappen/verysmall/102443.png?lm=1715439121,,€700k
Mohamed Ali Yaakoubi,2022/2023,6,,,Centre-Back,Tunisia,,https://www.transfermarkt.com/mohamed-ali-yaakoubi/profil/spieler/134629,JS Kairouanaise,,https://tmssl.akamaized.net//images/wappen/verysmall/17534.png?lm=1418329709,,€200k
Mohamed Amine Ben Hamida,2025/2026,20,-1,,Left-Back,Tunisia,,https://www.transfermarkt.com/mohamed-amine-ben-hamida/profil/spieler/454495,Without Club,,,,€700k
Mohamed Amine Meskini,2021/2022,28,,,Defensive Midfield,Tunisia,,https://www.transfermarkt.com/mohamed-amine-meskini/profil/spieler/422389,Al-Watan SC,,https://tmssl.akamaized.net//images/wappen/verysmall/113299.png?lm=1734838407,,€200k
Mohamed Amine Nefzi,2016/2017,,,,Right-Back,Tunisia,,https://www.transfermarkt.com/mohamed-amine-nefzi/profil/spieler/217597,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€225k
Mohamed Amine Tougai,2025/2026,15,-2,1.50,Centre-Back,Algeria,,https://www.transfermarkt.com/mohamed-amine-tougai/profil/spieler/592396,Without Club,,,,€1.50m
Mohamed Aziz Ben Charnia,2018/2019,,,,Left-Back,Tunisia,,https://www.transfermarkt.com/mohamed-aziz-ben-charnia/profil/spieler/842988,SC Moknine,,https://tmssl.akamaized.net//images/wappen/verysmall/35278.png?lm=1467548352,,
Mohamed Aziz Boucetta,2017/2018,,,,Centre-Back,Tunisia,,https://www.transfermarkt.com/mohamed-aziz-boucetta/profil/spieler/581162,AS Soliman,,https://tmssl.akamaized.net//images/wappen/verysmall/52128.png?lm=1468792418,,
Mohamed Ben Ali,2025/2026,2,-1,,Right-Back,Tunisia,,https://www.transfermarkt.com/mohamed-ben-ali/profil/spieler/290406,Without Club,,,,€500k
Mohamed Mohieddine Aloui,2023/2024,,,,Midfielder,Tunisia,,https://www.transfermarkt.com/mohamed-mohieddine-aloui/profil/spieler/1264547,Union Sportive de Ben Guerdane,,https://tmssl.akamaized.net//images/wappen/verysmall/30507.png?lm=1437974422,,
Mohamed Mouhli,2025/2026,37,-2,,Attacking Midfield,Belgium,,https://www.transfermarkt.com/mohamed-mouhli/profil/spieler/433129,Without Club,,,,€300k
Mohamed Rayane Hamrouni,2023/2024,,,,Left Winger,Tunisia,,https://www.transfermarkt.com/mohamed-rayane-hamrouni/profil/spieler/1008449,JS Kairouanaise,,https://tmssl.akamaized.net//images/wappen/verysmall/17534.png?lm=1418329709,,€225k
Mohamed Sedki Debchi,2025/2026,26,-2,,Goalkeeper,Tunisia,,https://www.transfermarkt.com/mohamed-sedki-debchi/profil/spieler/572190,Without Club,,,,€100k
Mohamed Wael Derbali,2025/2026,4,-1,,Central Midfield,Tunisia,,https://www.transfermarkt.com/mohamed-wael-derbali/profil/spieler/946783,Without Club,,,,€600k
Mokhtar Ifaoui,2025/2026,16,,,Goalkeeper,Tunisia,,https://www.transfermarkt.com/mokhtar-ifaoui/profil/spieler/1370391,Without Club,,,,
Mondher Guesmi,2016/2017,6,,,Defensive Midfield,Tunisia,,https://www.transfermarkt.com/mondher-guesmi/profil/spieler/401849,Al-Sadd,,https://tmssl.akamaized.net//images/wappen/verysmall/69030.png?lm=1566337450,,€100k
Montassar Talbi,2017/2018,4,,,Centre-Back,Tunisia,,https://www.transfermarkt.com/montassar-talbi/profil/spieler/496706,FC Lorient,,https://tmssl.akamaized.net//images/wappen/verysmall/1158.png?lm=1406642498,,€350k
Montassar Triki,2023/2024,32,,,Central Midfield,Tunisia,,https://www.transfermarkt.com/montassar-triki/profil/spieler/841500,Dobrudzha Dobrich,,https://tmssl.akamaized.net//images/wappen/verysmall/4362.png?lm=1721764689,,€175k
Mootez Zaddem,2023/2024,19,,,Central Midfield,Tunisia,,https://www.transfermarkt.com/mootez-zaddem/profil/spieler/750487,Erbil SC,,https://tmssl.akamaized.net//images/wappen/verysmall/13595.png?lm=1420993899,,€600k
