Player,Season,Jersey_Number,Age,Height,Position,Nationality,Player_Image,Profile_URL,Current_Club,Current_Club_URL,Current_Club_Logo,Current_Club_Country,Market_Value
Saliou Guindo,2015/2016,22,22,,Centre-Forward,,,https://www.transfermarkt.com/saliou-guindo/profil/spieler/364854,FC Dinamo City,,https://tmssl.akamaized.net//images/wappen/verysmall/588.png?lm=1754219945,,€50k
Montassar Talbi,2017/2018,4,20,,Montassar Talbi,,,https://www.transfermarkt.com/montassar-talbi/profil/spieler/496706,FC Lorient,,https://tmssl.akamaized.net//images/wappen/verysmall/1158.png?lm=1406642498,,€350k
Ayman Ben Mohamed,2024/2025,22,22,,Ayman Ben Mohamed,,,https://www.transfermarkt.com/ayman-ben-mohamed/profil/spieler/249446,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,€300k
Franck Kom,2018/2019,30,30,1.00,Defensive Midfield,,,https://www.transfermarkt.com/franck-kom/profil/spieler/148518,Emirates Club,,https://tmssl.akamaized.net//images/wappen/verysmall/15542.png?lm=1705891099,,€1.00m
Mohamed Ali Moncer,2017/2018,21,21,,Mohamed Ali Moncer,,,https://www.transfermarkt.com/mohamed-ali-moncer/profil/spieler/172296,FC Brandbergen,,https://tmssl.akamaized.net//images/wappen/verysmall/102443.png?lm=1715439121,,€700k
Maher Ben Seghaier,2020/2021,27,27,,Left Winger,,,https://www.transfermarkt.com/maher-ben-seghaier/profil/spieler/403255,Etoile Sportive du Sahel,,https://tmssl.akamaized.net//images/wappen/verysmall/250.png?lm=1584825425,,€150k
Rami Jeridi,2019/2020,19,19,,Rami Jeridi,,,https://www.transfermarkt.com/rami-jeridi/profil/spieler/122489,Dynamic Herb Cebu FC,,https://tmssl.akamaized.net//images/wappen/verysmall/92045.png?lm=1676721717,,€400k
Hamza Ghanmi,2023/2024,16,16,,Hamza Ghanmi,,,https://www.transfermarkt.com/hamza-ghanmi/profil/spieler/577882,ES Zarzis,,https://tmssl.akamaized.net//images/wappen/verysmall/2205.png?lm=1418329546,,€175k
Aymen Mahmoud,2018/2019,3,23,,Centre-Back,,,https://www.transfermarkt.com/aymen-mahmoud/profil/spieler/370034,Diyala SC,,https://tmssl.akamaized.net//images/wappen/verysmall/42036.png?lm=1751972748,,€350k
Chams Deen Chaona,2017/2018,3,21,,Chams Deen Chaona,,,https://www.transfermarkt.com/chams-deen-chaona/profil/spieler/570510,Loto-Popo FC,,https://tmssl.akamaized.net//images/wappen/verysmall/76583.png?lm=1643445336,,€50k
Mohamed Aziz Boucetta,2017/2018,,20,,Mohamed Aziz Boucetta,,,https://www.transfermarkt.com/mohamed-aziz-boucetta/profil/spieler/581162,AS Soliman,,https://tmssl.akamaized.net//images/wappen/verysmall/52128.png?lm=1468792418,,
Malek Charfi,2017/2018,2,21,,Right-Back,,,https://www.transfermarkt.com/malek-charfi/profil/spieler/578910,Al-Shat Tripoli,,https://tmssl.akamaized.net//images/wappen/verysmall/30563.png?lm=1447870021,,€50k
Mohamed Amine Meskini,2021/2022,28,28,,Mohamed Amine Meskini,,,https://www.transfermarkt.com/mohamed-amine-meskini/profil/spieler/422389,Al-Watan SC,,https://tmssl.akamaized.net//images/wappen/verysmall/113299.png?lm=1734838407,,€200k
Mohamed Ali Ben Romdhane,2022/2023,5,23,2.70,Mohamed Ali Ben Romdhane,,,https://www.transfermarkt.com/mohamed-ali-ben-romdhane/profil/spieler/577881,Al Ahly FC,,https://tmssl.akamaized.net//images/wappen/verysmall/7.png?lm=1745704549,,€2.70m
Änis Ben-Hatira,2017/2018,,29,,Right Winger,,,https://www.transfermarkt.com/anis-ben-hatira/profil/spieler/35872,Hertha BSC II,,https://tmssl.akamaized.net//images/wappen/verysmall/45.png?lm=1656580875,,€400k
Abdelkader Bedrane,2021/2022,30,30,,Centre-Back,,,https://www.transfermarkt.com/abdelkader-bedrane/profil/spieler/376649,Damac FC,,https://tmssl.akamaized.net//images/wappen/verysmall/50532.png?lm=1756255283,,€900k
Afif Jebali,2018/2019,4,19,,Centre-Back,,,https://www.transfermarkt.com/afif-jebali/profil/spieler/651141,Al-Anwar Al-Abyar SC,,https://tmssl.akamaized.net//images/wappen/verysmall/71006.png?lm=1737636334,,€25k
Abdelmajid Haouachi,2018/2019,,19,,Left-Back,,,https://www.transfermarkt.com/abdelmajid-haouachi/profil/spieler/634700,AMS Megrine,,https://tmssl.akamaized.net//images/wappen/verysmall/39610.png?lm=1468102362,,
Mohamed Aziz Ben Charnia,2018/2019,,21,,Mohamed Aziz Ben Charnia,,,https://www.transfermarkt.com/mohamed-aziz-ben-charnia/profil/spieler/842988,SC Moknine,,https://tmssl.akamaized.net//images/wappen/verysmall/35278.png?lm=1467548352,,
Raed Fadaa,2024/2025,,28,,Right-Back,,,https://www.transfermarkt.com/raed-fadaa/profil/spieler/537392,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,
Khemais Maaouani,2018/2019,,24,,Defensive Midfield,,,https://www.transfermarkt.com/khemais-maaouani/profil/spieler/474759,Union Sportive de Ben Guerdane,,https://tmssl.akamaized.net//images/wappen/verysmall/30507.png?lm=1437974422,,€175k
Youssef Mosrati,2020/2021,,21,,Central Midfield,,,https://www.transfermarkt.com/youssef-mosrati/profil/spieler/651142,Al Tersana Tripoli,,https://tmssl.akamaized.net//images/wappen/verysmall/35063.png?lm=1734761162,,€150k
Alaeddine Ben Salah,2018/2019,,22,,Central Midfield,,,https://www.transfermarkt.com/alaeddine-ben-salah/profil/spieler/680886,Unknown,,https://tmssl.akamaized.net//images/wappen/verysmall/75.png?lm=1456997316,,
Hamdou El Houni,2022/2023,10,29,1.40,Hamdou El Houni,,,https://www.transfermarkt.com/hamdou-el-houni/profil/spieler/377605,Al-Ahli SC,,https://tmssl.akamaized.net//images/wappen/verysmall/13504.png?lm=1734761743,,€1.40m
Billel Bensaha,2019/2020,7,26,,Left Winger,,,https://www.transfermarkt.com/billel-bensaha/profil/spieler/323326,USM El Harrach,,https://tmssl.akamaized.net//images/wappen/verysmall/30930.png?lm=1410079916,,€325k
Noomen Rahmani,2018/2019,,20,,Left Winger,,,https://www.transfermarkt.com/noomen-rahmani/profil/spieler/645531,ES Zarzis,,https://tmssl.akamaized.net//images/wappen/verysmall/2205.png?lm=1418329546,,
Yassine Hamdi,2018/2019,,20,,Yassine Hamdi,,,https://www.transfermarkt.com/yassine-hamdi/profil/spieler/665858,Without Club,,https://tmssl.akamaized.net//images/wappen/verysmall/515.png?lm=1456997255,,
Tayeb Meziani,2019/2020,20,20,,Right Winger,,,https://www.transfermarkt.com/tayeb-meziani/profil/spieler/373035,MC Algiers,,https://tmssl.akamaized.net//images/wappen/verysmall/8850.png?lm=1729529148,,€300k
Amanallah Lakoud,2018/2019,,20,,Amanallah Lakoud,,,https://www.transfermarkt.com/amanallah-lakoud/profil/spieler/634699,CS Hajeb El Ayoun,,https://tmssl.akamaized.net//images/wappen/verysmall/88901.png?lm=1616250979,,
